spotify_id,name,artists,album_name,duration_ms,album_release_date
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,251667,2024-08-16
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",rosie,169917,2024-12-06
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,210373,2024-05-17
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,The Secret of Us (Deluxe),166300,2024-10-18
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,MUSE,170887,2024-07-19
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,Short n' Sweet,175459,2024-08-23
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",GNX,177598,2024-11-21
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,Sailor Song,211978,2024-07-26
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,256000,2024-09-27
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,This Wasn't Meant For You Anyway,284066,2024-06-21
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",218423,2024-04-05
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,261466,2024-05-17
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,Short n' Sweet,157279,2024-08-23
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,195824,2024-06-21
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),210688,2023-09-15
3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,SOS Deluxe: LANA,180746,2024-12-20
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,Short n' Sweet,186365,2024-08-23
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),244684,2023-06-23
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,220690,2024-11-22
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,191018,2024-11-15
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,225880,2024-09-26
0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,ROSONES,177590,2024-12-05
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,Fireworks & Rollerblades,180304,2024-04-05
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,DECIDE,159245,2022-09-16
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",CHROMAKOPIA,278014,2024-10-28
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,"Where I've Been, Isn't Where I'm Going",171291,2024-05-31
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,255915,2024-10-28
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,I Love You.,240400,2013-04-22
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,233478,2012-12-07
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,blue,214357,2024-08-02
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",Cosa Nuestra,206066,2024-11-15
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),234895,2024-11-29
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,Unreal Unearth: Unaired,251424,2024-08-19
3E9IzxNXsk7yFfc1SHpiG1,"Dum, Dumb, and Dumber (with Young Thug & Future)","Lil Baby, Young Thug, Future",WHAM,227400,2025-01-03
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,AM,183956,2013-09-09
3Fcfwhm8oRrBvBZ8KGhtea,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,242373,2008-06-19
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,Parachutes,266773,2000-07-10
3MJ6lFNV12FSHAOzTzkwxz,Smile,Morgan Wallen,Smile,224127,2024-12-31
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),147973,2024-11-23
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,Strange Trails,208211,2015-04-06
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,Synchronicity (Remastered 2003),253920,1983-06-17
2osJCvi2zzebMQTc7vvcAm,Just the Way You Are,Bruno Mars,100 Greatest R&B,220734,2019-11-22
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,157146,2024-06-21
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,eternal sunshine,228639,2024-03-08
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,206693,2016-11-17
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),130880,2024-10-17
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,SOS,153946,2022-12-09
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,180386,2017-07-21
63EQbNhgaih4yg5412usWG,Loco,Neton Vega,Loco,186521,2024-12-20
7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,NADIE,197031,2024-11-21
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",F-1 Trillion,178205,2024-08-15
0nj9Bq5sHDiTxSHunhgkFb,squabble up,Kendrick Lamar,GNX,157992,2024-11-22
3aSWXU6owkZeVhh94XxEWO,30 For 30 (with Kendrick Lamar),"SZA, Kendrick Lamar",SOS Deluxe: LANA,278277,2024-12-20
0eaVIYo2zeOaGJeqZ5TwYz,No Pole,Don Toliver,Love Sick (Deluxe),187613,2023-02-28
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,Not Like Us,274192,2024-05-04
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,184841,2023-09-22
0mflMxspEfB0VbI1kyLiAv,Stick Season,Noah Kahan,Stick Season,182346,2022-10-14
1k2pQc5i348DCHwbn5KTdc,Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,258034,2023-09-22
5xeSd4HgzrYpNLEf3LfYLK,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red",GLORIOUS,149461,2024-10-11
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,Submarine,236906,2024-05-31
2E7a96qey4AzSOdK6H21vS,Scorsese Baby Daddy,SZA,SOS Deluxe: LANA,153911,2024-12-20
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,SOS,201800,2022-12-09
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,Love Somebody,204828,2024-10-18
5AJ9hqTS2wcFQCELCFRO7A,MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,155151,2024-04-26
2BsDkWthyNrYbpY3iOnrR0,Stuff (feat. Travis Scott),"Lil Baby, Travis Scott",WHAM,180666,2025-01-03
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,Short n' Sweet,171869,2024-08-23
1eTaznNW4Xxtx9za2SMTXB,DENIAL IS A RIVER,Doechii,Alligator Bites Never Heal,159586,2024-08-30
040I32EKLxQrkuxQu1pqvT,Saturn,SZA,SOS Deluxe: LANA,186191,2024-12-20
4ZJ4vzLQekI0WntDbanNC7,Pink Skies,Zach Bryan,Pink Skies,194920,2024-05-24
76Ku9OBFK1NjMylR8r4WLK,Gang Baby,NLE Choppa,SLUT SZN,138180,2024-09-27
6EUcP55GlbmsmCzfL2vxtZ,on one tonight,Gunna,One of Wun,90760,2024-05-10
6gjkHuMOR0CrN7Vb2NoEdg,Anugerah Terindah,Andmesh,Cinta & Doa,282200,2023-09-22
0PtJbtW50jcvvswNPn3QGd,Serana,For Revenge,Perayaan Patah Hati - Babak 1,250000,2022-09-06
0daEJMXc3b4ZMTnvtHpuTt,Nina,.Feast,Membangun & Menghancurkan,277944,2024-08-30
26KhLgFuPymkm1uiZkc6Rv,Bunga Maaf,The Lantis,Bunga Maaf,252349,2024-11-15
7BgFlmOxrL7M1jVGoxqy37,Masing Masing,"Ernie Zakri, Ade Govinda",Aura,234589,2023-11-03
70Wtp9jCA3ZhGAxV0pnwS7,Bunga Abadi,Rio Clappy,Bunga Abadi,243038,2024-03-01
7zOVh5fGpEwSbZd0g9z80B,Satu Bulan,Bernadya,Terlintas,200476,2023-06-22
3FwQ3RYYEekzjEeL3jdpUZ,Pesan Terakhir,Lyodra,Lyodra,261299,2021-07-16
6cChz3Pak7UtjuVJJRZmCm,Sialan,"Adrian Khalif, Juicy Luicy",HARAP-HARAP EMAS,241088,2024-09-27
2gcMYiZzzmzoF8PPAfL3IO,"Untungnya, Hidup Harus Tetap Berjalan",Bernadya,"Sialnya, Hidup Harus Tetap Berjalan",182903,2024-06-23
2JqsSFo6HqOxnmxBtHfNY6,Aku Yang Jatuh Cinta,Dudy Oris,Aku Yang Jatuh Cinta,196343,2021-11-19
6wj06az0WX7fClA2w319dO,Kata Mereka Ini Berlebihan,Bernadya,"Sialnya, Hidup Harus Tetap Berjalan",191141,2024-06-23
1ZPVEo8RfmrEz8YAD5n6rW,Lantas,Juicy Luicy,Sentimental,234204,2020-11-06
2JekYbWANgDe54Dndi2I2C,Tak Ada Ujungnya,Rony Parulian,Tak Ada Ujungnya,202721,2024-11-14
5MIpcd16T59wFeqAChSYwC,Duka,Last Child,Duka,325147,2016-09-25
26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,Anggi Marito,Tak Segampang Itu,231100,2022-12-02
6AyBbSvcR2ZwTeR30I4jb9,Jakarta Hari Ini,"For Revenge, Stereo Wall",Perayaan Patah Hati - Babak 1,221000,2022-09-06
4GUphFvzqaCHPDkS2VDn2I,Tunggu Apa Lagi,Nyoman Paul,Tunggu Apa Lagi,219352,2024-09-05
2wAiFWjRupWmnDkQcu91MF,Rumah Ke Rumah,Hindia,Menari Dengan Bayangan,277457,2019-11-29
6Xsn8juDq6ebLmTNy9zvp4,Garam & Madu,Refa Fvnky Rimex,Garam & Madu,300269,2024-12-24
1csKczcJqOSdK8JriLMpDW,Tampar,Juicy Luicy,Nonfiksi,202824,2024-06-28
6Hii26x3qDErVitnGW8QtO,Runtuh,"Feby Putri, Fiersa Besari",Runtuh,223973,2021-10-01
5NmjnghJGJRFg34KGGx8O0,Seandainya,Vierra,My First Love,263407,2011-06-01
630DpnzdfjdVqv2yLfPbAX,Bertaut,Nadin Amizah,Selamat Ulang Tahun,315960,2020-05-28
3aClK9EBpl7QeYEuOq1eMI,L,Hal,Perspektif,220851,2018-08-23
2dIBMHByUGcNPzmYBJ6OAj,Evaluasi,Hindia,Menari Dengan Bayangan,194469,2019-11-29
3y8RcMPYG22fRnrOi4oFJ1,Nanti Kita Seperti Ini,Batas Senja,Nanti Kita Seperti Ini,209647,2022-09-27
7J0isBrUxhIYZVdrBOOlIh,Cincin,Hindia,Lagipula Hidup Akan Berakhir,266330,2023-07-07
1mruWrUwAVe2XkksUQiaHK,Selamat (Selamat Tinggal),"Virgoun, Audy",Selamat (Selamat Tinggal),313670,2019-06-17
6Npkwd5gv61SR6QZbTyNf9,Lampu Kuning,Juicy Luicy,Nonfiksi,239416,2024-06-28
25M9piWxSsq0xLcjQW5yz6,Bawa Dia Kembali,Mahalini,fábula,226773,2023-01-23
4GfK1qOF3uBWidbPlTCQRL,Monokrom,Tulus,Monokrom,214567,2016-08-03
6zrnrcry6OHVFo3EDt6PYa,Rahasia Hati,Nidji,King of Soundtrack,250682,2014-03-03
6xeqCawPZngDVqw2W2aGaR,Kembali Pulang,"Suara Kayu, Feby Putri",Kembali Pulang,207898,2022-10-28
654ZF6YNWjQS2NhwR3QnX7,Komang,Raim Laode,Komang,222706,2022-08-16
0pmyq5KBXP3agRdxl1SZXx,Lama-Lama,Bernadya,"Sialnya, Hidup Harus Tetap Berjalan",184670,2024-06-23
0qjuyXWrksQxIRntqz9ZJV,Tanpa Cinta,Yovie & Nuno,Still The One,256386,2014-04-14
5l3jhWIfRg1FeKgw7R1jWb,Keras Kepala,Meiska,Hanya Figuran,296800,2024-07-12
6i9Ci0IN1q1GcnhdbKU7kZ,penjaga hati,Nadhif Basalamah,Nadhif,260346,2024-06-21
5KYUrBgdbIcqwaGSIgfXPl,Apa Mungkin,Bernadya,Apa Mungkin,238879,2022-09-23
4xmSDYn5n9Gu6mH6FSJDhf,Tak Di Tanganku,"Juicy Luicy, Mawar de Jongh",Tak Di Tanganku,232383,2023-03-16
1AoBdDIOp6RFjAbzcPbWi8,Janji Setia,Tiara Andini,Tiara Andini,261000,2021-12-17
32Pdf9eyXDEMoClEJW6yYP,Interaksi,Tulus,Manusia,170000,2022-03-03
5JJ6JB7fKygWoKAcBZKxNo,Tresno Tekan Mati New Version - Remastered 2023,NDX A.K.A.,Tresno Tekan Mati (New Version),271038,2023-12-19
5drW6PGRxkE6MxttzVLNk5,Secukupnya,Hindia,Menari Dengan Bayangan,205466,2019-11-29
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,Chase Atlantic,228786,2017-10-04
